feature_uid,admin_level,district_name,constituency_name,river_flood_threshold,river_flood_mean,river_flood_min,river_flood_max,river_flood_p10,river_flood_p90,river_flood_affected_km2,river_flood_exposed_children,river_flood_exposed_children_pct,ag_drought_threshold,ag_drought_mean,ag_drought_min,ag_drought_max,ag_drought_p10,ag_drought_p90,ag_drought_affected_km2,ag_drought_exposed_children,ag_drought_exposed_children_pct,spei_drought_threshold,spei_drought_mean,spei_drought_min,spei_drought_max,spei_drought_p10,spei_drought_p90,spei_drought_affected_km2,spei_drought_exposed_children,spei_drought_exposed_children_pct,spi_drought_threshold,spi_drought_mean,spi_drought_min,spi_drought_max,spi_drought_p10,spi_drought_p90,spi_drought_affected_km2,spi_drought_exposed_children,spi_drought_exposed_children_pct,drought_any_exposed_children,drought_any_exposed_children_pct,drought_any_affected_km2,wind_threshold_kmh,rain_threshold_mm_day,wind_exceed_days_tier_1,wind_exceed_days_tier_2,wind_exceed_days_tier_3,rain_exceed_days_tier_1,rain_exceed_days_tier_2,rain_exceed_days_tier_3,analysis_start,analysis_end_exclusive,analysis_scale_m,wind_era5_exceed_days_mean,wind_era5_exceed_days_max,wind_era5_exceed_days_p90,rain_era5_exceed_days_mean,rain_era5_exceed_days_max,rain_era5_exceed_days_p90,wind_era5_exposed_children,wind_era5_exposed_children_pct,wind_era5_ge5d_exposed_children,wind_era5_ge5d_exposed_children_pct,wind_era5_ge15d_exposed_children,wind_era5_ge15d_exposed_children_pct,wind_era5_ge30d_exposed_children,wind_era5_ge30d_exposed_children_pct,rain_era5_exposed_children,rain_era5_exposed_children_pct,rain_era5_ge5d_exposed_children,rain_era5_ge5d_exposed_children_pct,rain_era5_ge15d_exposed_children,rain_era5_ge15d_exposed_children_pct,rain_era5_ge30d_exposed_children,rain_era5_ge30d_exposed_children_pct,any_exceed_exposed_children,any_exceed_exposed_children_pct,any_risk_exposed_children,any_risk_exposed_children_pct,any_risk_affected_km2
Blantyre City||South Lunzu,constituency,Blantyre City,South Lunzu,0.01,,,,,,0.0,0.0,0.0,30,,,,,,30.170903113776568,40323.51523683936,96.38156078206457,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,40323.51523683936,96.38156078206457,30.170903113776568,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,15.226190476190476,17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41837.37522991335,100.0,41837.37522991335,100.0,41837.37522991335,100.0,0.0,0.0,41837.37522991335,100.0,0.0,0.0,0.0
Chikwawa||Chikwawa Central,constituency,Chikwawa,Chikwawa Central,0.01,,,,,,131.34010282380908,2946.8790998412114,7.11268076970635,30,,,,,,368.2949351822629,40980.04845810073,98.91074344559074,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,40980.04845810073,98.91074344559074,368.2949351822629,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.411881188118816,19,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41431.34206714685,100.0,41431.34206714685,100.0,23424.537457614228,56.53820583376373,0.0,0.0,41431.34206714685,100.0,2946.8790998412114,7.11268076970635,131.34010282380908
Chikwawa||Chikwawa Central West,constituency,Chikwawa,Chikwawa Central West,0.01,,,,,,150.29503656836118,5028.500891847909,11.18806209749159,30,,,,,,710.2635440655786,42685.3219445749,94.97185002821489,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,42685.3219445749,94.97185002821489,710.2635440655786,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,15.674543822913552,21,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44945.235806076904,100.0,44945.235806076904,100.0,41194.26209590301,91.65434635528882,0.0,0.0,44945.235806076904,100.0,4510.121903386625,10.034705175085154,145.52178276987638
Chikwawa||Chikwawa East,constituency,Chikwawa,Chikwawa East,0.01,,,,,,321.87645854786336,7534.603357330813,18.65823183401331,30,,,,,,434.0804237865936,39116.76880306534,96.86637853537215,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,74.72301218462925,983.1098458942831,2.4345132123178947,39116.76880306534,96.86637853537215,434.0804237865936,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,17.824193548387093,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40382.193898971134,100.0,40382.193898971134,100.0,40382.193898971134,100.0,0.0,0.0,40382.193898971134,100.0,7279.69391267624,18.02698964521022,289.2654286059679
Chikwawa||Chikwawa Mkombezi,constituency,Chikwawa,Chikwawa Mkombezi,0.01,,,,,,34.32535359158234,415.11174792869406,0.968519397766727,30,,,,,,457.2506456947793,42836.78762083048,99.94479789069854,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,44.63640259153702,3583.5049273711797,8.360866806274569,42836.78762083048,99.94479789069854,457.2506456947793,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.58590657165479,18,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42860.44749190206,100.0,42860.44749190206,100.0,22923.726829160787,53.484571838621,0.0,0.0,42860.44749190206,100.0,414.4813999019416,0.9670486991071491,32.41705050959306
Chikwawa||Chikwawa North,constituency,Chikwawa,Chikwawa North,0.01,,,,,,84.06970774870294,541.6219048247181,2.253399330131187,30,,,,,,294.7666414211779,17292.345282922786,71.944208551805,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,17292.345282922786,71.944208551805,294.7666414211779,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,12.929282868525899,19,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24035.771094029136,100.0,24035.771094029136,100.0,10296.085804588573,42.836511316028805,0.0,0.0,24035.771094029136,100.0,506.99477280002895,2.109334336795937,57.09917085638233
Chikwawa||Chikwawa South,constituency,Chikwawa,Chikwawa South,0.01,,,,,,40.88079778844236,819.435187622671,3.964020392720851,30,,,,,,192.56723153123664,20671.820688092415,100.0,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,188.5688646487161,18167.21248114512,87.88394963008739,20671.820688092415,100.0,192.56723153123664,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,15.116504854368934,17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20671.820688092415,100.0,20671.820688092415,100.0,20671.820688092415,100.0,0.0,0.0,20671.820688092415,100.0,819.435187622671,3.964020392720851,40.88079778844236
Chikwawa||Chikwawa West,constituency,Chikwawa,Chikwawa West,0.01,,,,,,50.192767409717334,214.50533163541672,0.485014728624089,30,,,,,,572.5748763851092,42262.51788633132,95.55913359976039,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,42262.51788633132,95.55913359976039,572.5748763851092,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,13.282728272827283,17,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44226.56034465898,100.0,44226.56034465898,100.0,19571.754637515078,44.25339543702195,0.0,0.0,44226.56034465898,100.0,214.50533163541672,0.485014728624089,50.192767409717334
Chiradzulu||Chiradzulu Masanjala,constituency,Chiradzulu,Chiradzulu Masanjala,0.01,,,,,,0.0,0.0,0.0,30,,,,,,164.2883116420576,35634.89109131168,100.0,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,35634.89109131168,100.0,164.2883116420576,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.018306636155607,17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35634.89109131168,100.0,35634.89109131168,100.0,26997.714994000515,75.76202471005436,0.0,0.0,35634.89109131168,100.0,0.0,0.0,0.0
Chiradzulu||Chiradzulu Midima,constituency,Chiradzulu,Chiradzulu Midima,0.01,,,,,,2.316534126739876,149.7241667928065,0.47549366321787107,30,,,,,,155.53287489344092,31488.151867168614,100.0,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,31488.151867168614,100.0,155.53287489344092,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,13.024213075060532,14,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31488.151867168614,100.0,31488.151867168614,100.0,0.0,0.0,0.0,0.0,31488.151867168614,100.0,149.7241667928065,0.47549366321787107,2.316534126739876
